Size;Support;Item1;Item2
2;0.125;count(ingredients)_soi sauc;count(ingredients)_brown sugar
2;0.104;count(ingredients)_soi sauc;count(ingredients)_oil
2;0.104;count(ingredients)_soi sauc;count(ingredients)_scallion
2;0.104;count(ingredients)_soi sauc;count(ingredients)_sesam seed
2;0.104;count(ingredients)_soi sauc;count(ingredients)_ramen noodl
2;0.104;count(ingredients)_green onion;count(ingredients)_fresh ginger
2;0.104;count(ingredients)_sesam oil;count(ingredients)_chines egg noodl
2;0.104;count(ingredients)_veget oil;count(ingredients)_onion
2;0.125;count(ingredients)_water;count(ingredients)_sugar
2;0.104;count(ingredients)_noodl;count(ingredients)_carrot
